city,lat,lon,max temp,humidity,cloudiness,wind_speed,country,date
ponta do sol,32.67,-17.1,73.4,73,20,12.75,PT,1596329687
isla mujeres,21.23,-86.73,84.2,79,40,5.82,MX,1596329688
mataura,-46.19,168.86,52.83,84,100,1.21,NZ,1596329688
kulachi,31.93,70.46,95.65,44,0,7.02,PK,1596329688
narsaq,60.92,-46.05,50,76,75,1.12,GL,1596329688
punta arenas,-53.15,-70.92,35.6,93,100,4.7,CL,1596329689
samastipur,25.85,85.78,86.59,68,75,3.42,IN,1596329689
longyearbyen,78.22,15.64,48.2,87,17,2.24,SJ,1596329689
carnarvon,-24.87,113.63,60.8,87,0,11.41,AU,1596329689
diffa,13.32,12.61,84.45,48,98,9.71,NE,1596329690
puerto asis,0.51,-76.5,70.27,95,0,1.72,CO,1596329690
castro,-24.79,-50.01,52.41,86,0,2.82,BR,1596329690
yigou,35.81,114.32,82.99,67,33,12.93,CN,1596329690
yellowknife,62.46,-114.35,78.8,50,75,14.99,CA,1596329447
provideniya,64.38,-173.3,49.64,59,18,9.13,RU,1596329691
baoqing,46.33,132.21,81.25,73,72,8.61,CN,1596329691
tucuman,-26.82,-65.22,59,54,0,6.93,AR,1596329652
umzimvubu,-54.8,-68.3,39.2,80,75,8.05,AR,1596329539
ushuaia,-25.3,152.85,66.99,76,8,7,AU,1596329692
hervey bay,-22.97,-42.03,69.42,73,14,12.5,BR,1596329692
arraial do cabo,48.85,-54.01,57.2,100,90,8.05,CA,1596329693
hare bay,19.73,-155.09,84.2,58,90,10.29,US,1596329605
hilo,70.37,31.11,49.14,87,100,11.81,NO,1596329693
vardo,-0.6,73.08,82.74,73,17,11.54,MV,1596329693
hithadhoo,-46.6,168.33,51.66,90,100,9.8,NZ,1596329694
bluff,58.57,5.7,63,99,100,3,NO,1596329694
saleaula,-33.93,18.42,51.01,87,0,9.17,ZA,1596329656
vigrestad,-23.12,-134.97,74.08,75,0,5.97,PF,1596329695
cape town,66.77,123.37,62.56,49,0,16.04,RU,1596329695
rikitea,61.99,-49.67,45.55,97,100,11.7,GL,1596329444
zhigansk,-0.74,-90.35,68,92,95,1.99,EC,1596329695
paamiut,42.1,-79.24,68,88,90,6.93,US,1596329696
puerto ayora,57.79,-152.41,57.2,87,75,4.7,US,1596329696
jamestown,51.03,-4.22,61,88,0,3,GB,1596329696
taolanaro,4.25,-74,59,51,40,10.29,CO,1596329697
kodiak,-26.65,15.16,68,24,0,2.24,NA,1596329697
northam,-9.8,-139.03,79.32,75,21,16.17,PF,1596329697
gutierrez,64.5,-165.41,63,72,40,10.29,US,1596329697
luderitz,-33.87,121.9,48.2,87,100,13.87,AU,1596329698
atuona,11.28,-15.83,81.09,81,100,9.69,GW,1596329698
nome,-34.42,19.23,46.99,92,0,1.01,ZA,1596329698
esperance,-26.58,18.13,60.8,17,0,12.75,NA,1596329698
bubaque,-13.88,167.55,84.2,74,90,2.24,VU,1596329416
hermanus,71.29,-156.79,37.4,73,75,6.93,US,1596329699
keetmanshoop,55.74,-97.86,71.6,43,40,10.29,CA,1596329699
sola,29.96,122.3,82.04,84,29,15.41,CN,1596329700
barrow,-2.02,147.27,83.32,78,10,11.21,PG,1596329700
thompson,42.25,-75.83,77,50,1,3.36,US,1596329700
shenjiamen,63.75,-68.51,57.2,82,75,5.82,CA,1596329700
lorengau,-0.08,31.46,65.12,62,92,4.61,UG,1596329701
broome,-3.67,152.43,82.74,76,77,7.4,PG,1596329701
iqaluit,32.3,-9.24,75.81,63,0,14.5,MA,1596329701
sembabule,50.1,-91.92,68,60,40,5.82,CA,1596329702
namatanai,4.14,96.13,76.84,77,100,4,ID,1596329702
asfi,23.8,-100.73,75.33,48,97,3.4,MX,1596329702
mys shmidta,-2.9,-40.84,77.95,75,3,14.25,BR,1596329702
sioux lookout,9.27,-3,69.15,95,0,5.23,CI,1596329703
meulaboh,-43.3,-65.1,52.68,55,64,16.82,AR,1596329703
cedral,-15.2,12.15,67.26,74,0,4.34,AO,1596329704
camocim,61.52,30.2,53.01,79,100,5.5,RU,1596329704
bouna,5.41,100.34,77,94,40,4.7,MY,1596329601
rawson,53.6,91.39,59,87,61,0.49,RU,1596329704
illoqqortoormiut,-19.93,-40.4,66.2,93,90,4.7,BR,1596329704
namibe,-33.65,115.33,48.99,100,49,2.37,AU,1596329705
lakhdenpokhya,40.16,-8.33,64,93,49,1.01,PT,1596329705
georgetown,11.67,92.75,82.85,79,100,25.1,IN,1596329530
belyy yar,70.63,147.92,60.22,52,90,4.63,RU,1596329705
fundao,-11.1,-77.61,60.28,84,1,9.98,PE,1596329706
busselton,22.08,-159.32,81,88,90,20.8,US,1596329706
lata,34.82,36.12,77,69,40,6.93,SY,1596329706
port blair,30.76,20.23,76.53,90,0,8.95,LY,1596329706
chokurdakh,12.06,-61.75,82.4,83,20,9.17,GD,1596329707
hualmay,47.67,-52.73,60.01,100,90,5.82,CA,1596329707
kapaa,69.45,-133.04,53.6,87,90,18.34,CA,1596329707
safita,-12.82,-42.73,66.2,65,0,5.93,BR,1596329585
ajdabiya,62.23,-6.59,50,100,56,11.41,FO,1596329708
saint-georges,-20.34,57.76,71.6,73,75,16.11,MU,1596329708
malwan,-34.53,20.04,48.2,93,0,3.36,ZA,1596329708
torbay,-21.36,55.77,68,72,90,9.17,RE,1596329709
tuktoyaktuk,60.75,-137.51,68.61,42,54,11.48,CA,1596329709
amderma,-46.28,169.85,57,64,97,1.99,NZ,1596329709
boquira,38.52,-28.7,71.11,67,1,6.82,PT,1596329709
klaksvik,-33.59,26.89,57.97,75,0,11.27,ZA,1596329710
bambous virieux,42.6,-73.97,81,56,100,1.39,US,1596329710
bredasdorp,3.07,172.79,83.68,79,13,17.49,KI,1596329710
saint-philippe,65.28,-126.83,89.6,35,20,4.7,CA,1596329710
haines junction,48.57,-78.12,78.8,57,40,2.24,CA,1596329711
kaitangata,-10.62,150.67,77.76,77,19,13.71,PG,1596329711
ribeira grande,10.57,72.64,82.15,79,93,20.11,IN,1596329711
port alfred,-42.78,147.06,53.01,70,100,4,AU,1596329712
albany,-8.93,125.41,67.87,42,0,4.07,TL,1596329712
butaritari,-51.62,-69.22,32,92,63,2.24,AR,1596329712
norman wells,-42.88,147.33,53.6,46,75,17.22,AU,1596329577
amos,-33.7,-53.46,51.67,86,88,7.34,UY,1596329713
samarai,73.51,80.55,49.08,84,53,19.84,RU,1596329713
jomalig,13.93,121.42,80.44,77,100,1.28,PH,1596329713
kavaratti,-22.96,14.51,73.99,20,0,12.21,NA,1596329713
new norfolk,-21.2,-175.2,73.4,73,75,11.41,TO,1596329714
airai,71.69,128.87,48.76,70,99,3.36,RU,1596329714
rio gallegos,-33.01,17.94,46.4,81,0,2.24,ZA,1596329714
hobart,48.04,40.05,60.8,82,14,6.71,RU,1596329715
chuy,36.41,64.91,66.67,36,0,1.88,AF,1596329715
dikson,22.89,-109.91,91.4,62,5,18.34,MX,1596329715
candelaria,66,111.5,66.2,48,0,2.24,RU,1596329715
walvis bay,-18.2,-65.18,53.08,73,84,2.51,BO,1596329715
vaini,55.57,28.2,49.01,93,6,5.32,BY,1596329716
tiksi,-20.23,164.02,69.31,69,2,22.66,NC,1596329716
saldanha,-38,-57.56,50,76,100,12.75,AR,1596329667
almaznyy,59.7,30.79,55,87,100,6.71,RU,1596329716
dawlatabad,-9.02,34.8,47.71,85,100,13.6,TZ,1596329717
cabo san lucas,-37.62,-73.65,50.83,93,28,7.52,CL,1596329717
aykhal,32.83,66,60.17,31,0,2.35,AF,1596329718
aiquile,60.15,-1.15,51.8,100,97,5.82,GB,1596329719
disna,-26.88,-52.4,55.2,82,0,4.14,BR,1596329719
poum,41.37,-73.41,80.6,57,1,8.05,US,1596329719
mar del plata,-20.41,57.7,71.6,73,75,16.11,MU,1596329719
nikolskoye,69.7,170.31,36.97,90,93,4.76,RU,1596329720
mtwango,39.18,-84.53,73.99,88,90,4.7,US,1596329563
samusu,45.52,-122.68,82.99,34,20,8.05,US,1596329720
buariki,-33.02,27.91,59.92,60,0,11.16,ZA,1596329720
lebu,48.93,-125.55,70,93,75,4.7,CA,1596329470
uruzgan,49.49,105.92,60.06,80,100,8.9,MN,1596329721
tanjong sepat,20.5,-10.07,96.24,11,0,4.72,MR,1596329721
vaitupu,29.55,66.02,76.5,22,8,1.9,PK,1596329721
lerwick,70.47,-68.59,42.8,93,1,3.36,CA,1596329722
xanxere,64.75,177.48,51.8,76,75,8.95,RU,1596329722
bethel,-21.64,-41.05,68.54,72,0,6.62,BR,1596329722
mahebourg,7.04,134.26,80.6,88,75,7.23,PW,1596329722
pevek,25.57,91.88,84.2,100,75,1.32,IN,1596329723
hamilton,-21.21,-159.78,73.4,64,100,5.82,CK,1596329723
portland,54.43,31.9,52.81,91,58,9.98,RU,1596329723
east london,14.9,-24.5,77.34,85,0,3.62,CV,1596329723
ucluelet,26.18,127.76,86,83,75,12.75,JP,1596329724
darhan,11,122.67,81.54,76,100,2.89,PH,1596329724
adrar,22.29,114.16,82,83,100,11.99,HK,1596329480
galgani,-17.71,-39.25,68.77,83,23,6.26,BR,1596329724
nushki,45.76,106.27,60.53,58,98,27.51,MN,1596329725
clyde river,58.31,112.9,73.45,50,0,15.97,RU,1596329725
anadyr,-34,24.73,52.5,65,0,8.99,ZA,1596329726
sao joao da barra,-2.67,141.3,76.69,88,100,7.56,PG,1596329726
kloulklubed,7.98,49.82,79.39,62,28,23.35,SO,1596329727
shillong,25.04,102.72,64.4,88,40,11.18,CN,1596329727
mocambique,68.35,-133.72,62.6,67,75,12.75,CA,1596329727
avarua,-12.12,-73,67.48,73,0,2.68,PE,1596329727
sobolevo,57.62,63.08,61.48,93,100,4.97,RU,1596329728
sao filipe,19.37,-81.42,86,84,20,3.36,KY,1596329728
nishihara,-20.73,139.5,73.4,33,0,12.75,AU,1596329651
dingle,36.77,30.72,78.8,88,0,6.93,TR,1596329729
victoria,7.77,-72.22,86,51,40,18.34,VE,1596329729
caravelas,-2.57,150.8,83.97,75,50,11.56,PG,1596329729
tiruvottiyur,12.68,78.62,75.38,77,100,10.25,IN,1596329729
mandalgovi,60.14,-45.24,46.04,94,100,15.97,GL,1596329730
mama,69.22,-51.1,46.4,87,42,2.24,GL,1596329730
kruisfontein,38.42,-121.42,95,19,1,8.05,US,1596329730
vanimo,3.78,72.97,83.25,76,100,11.81,MV,1596329730
eyl,-1.57,9.26,73.09,78,100,6.29,GA,1596329731
kunming,53.06,32.85,54.19,91,99,9.95,RU,1596329731
inuvik,-22.56,17.08,51.01,29,0,4.7,NA,1596329731
pangoa,69.49,88.4,60.8,77,100,8.95,RU,1596329731
lesnoy,53.39,-2.58,57.99,82,20,4.7,GB,1596329732
west bay,21.43,39.83,82.81,71,90,17.45,SA,1596329732
grand river south east,-34.73,135.87,56.89,72,100,5.39,AU,1596329732
mount isa,46.95,9.57,68,92,100,1.01,CH,1596329732
labutta,21.35,-158.09,87.8,51,75,5.82,US,1596329586
antalya,51.32,42.77,52.72,95,2,6.04,RU,1596329733
san cristobal,20.47,84.23,77.34,88,100,2.71,IN,1596329733
kavieng,-29.66,17.89,57.16,31,0,9.42,ZA,1596329733
vaniyambadi,20.93,-17.03,73.4,88,20,11.41,MR,1596329733
nanortalik,18.69,12.92,91.35,36,100,6.89,NE,1596329734
ilulissat,37.1,-113.58,107.6,6,1,11.41,US,1596329734
laguna,62.14,117.63,71.78,46,0,3.96,RU,1596329734
mahibadhoo,65.61,-37.64,50,34,0,5.82,GL,1596329734
omboue,40.52,-111.94,99,17,1,13.87,US,1596329735
